text,label
You are stupid ,1
I hate you,1
You are useless,1
Nobody likes you,1
You are an idiot,1
Get lost,1
You are a loser,1
Shut up,1
You are so dumb,1
I can't stand you,1
You are pathetic,1
Everyone hates you,1
You are worthless,1
Go away nobody wants you,1
You are the worst person ever,1
You are a failure,1
Stop talking,1
You are annoying,1
Nobody cares about you,1
You make everything worse,1
You are a joke,1
You are embarrassing,1
You are hopeless,1
You always mess things up,1
You are terrible at everything,1
Nobody asked for your opinion,1
You should stay quiet,1
You are not smart at all,1
You are a burden,1
People laugh at you,1
You never do anything right,1
You are weak,1
You are ugly,1
Everyone avoids you,1
You are not good enough,1
Nobody wants to be your friend,1
You are useless to this team,1
You ruin everything,1
You are so irritating,1
You should give up,1
Nobody respects you,1
You are a waste of time,1
You are embarrassing yourself,1
You are so slow,1
You are clueless,1
You don't belong here,1
You are a mistake,1
You are completely incompetent,1
You are always wrong,1
You make no sense,1
Nobody trusts you,1
You are a disaster,1
You are impossible to deal with,1
You are ridiculous,1
You are the dumbest person here,1
You are so fake,1
You are selfish,1
You are arrogant and useless,1
Everyone is tired of you,1
You are nothing special,1
You contribute nothing,1
You are not wanted here,1
You are a coward,1
You are lazy and useless,1
You have no talent,1
Nobody takes you seriously,1
You are a joke to everyone,1
You are completely hopeless,1
You always fail,1
You make everyone uncomfortable,1
You are a bad influence,1
You should disappear,1
You are a nuisance,1
Nobody values your opinion,1
You never learn anything,1
You are so immature,1
You are not worth listening to,1
You are a disappointment,1
You are embarrassing your family,1
You have no future,1
You are so boring,1
Nobody likes being around you,1
You are hard to tolerate,1
You are the problem,1
You always ruin the mood,1
You are a waste of space,1
You are completely useless here,1
You make everyone angry,1
You are not welcome here,1
You are an embarrassment,1
You should quit trying,1
You never succeed,1
You are not capable of anything,1
Nobody believes in you,1
You are a lost cause,1
You don't deserve success,1
You are a terrible friend,1
You make bad decisions,1
You are always causing trouble,1
You are difficult to like,1
You are extremely annoying,1
You have no common sense,1
You are bad at everything,1
Nobody listens to you,1
You are always complaining,1
You are a toxic person,1
You are so irritating to everyone,1
You never help anyone,1
You are unreliable,1
You are a terrible teammate,1
You are impossible to trust,1
You are the weakest link,1
You are not useful at all,1
You make every situation worse,1
You are not intelligent,1
You have no skills,1
You are always embarrassing yourself,1
You are incredibly annoying,1
Nobody enjoys your company,1
You are a bad example,1
You always make mistakes,1
You are a failure in life,1
You are not worth the effort,1
You are too dumb to understand,1
You are always behind everyone else,1
You have nothing valuable to say,1
You are not important,1
You are completely forgettable,1
You are not good at anything,1
You make people uncomfortable,1
You are not respected,1
You always ruin good things,1
You are a problem for everyone,1
You are impossible to work with,1
You are a constant disappointment,1
You are not wanted on this team,1
You don't fit in anywhere,1
You are a terrible person,1
You always let people down,1
You are not trustworthy,1
You are unbelievably annoying,1
You are a complete waste,1
You should stop trying altogether,1
Nobody is impressed by you,1
You are the worst teammate ever,1
You never think before speaking,1
You are bad company,1
You are impossible to respect,1
You are always making things harder,1
You have no value here,1
You are a complete joke,1
You are not useful to anyone,1
You are a huge disappointment,1
You always get everything wrong,1
You are too weak to succeed,1
You are the least talented person here,1
You are not worth anyone's time,1
Nobody expects anything from you,1
You are so incompetent,1
You are completely irrelevant,1
You are the reason things fail,1
You are not needed here,1
You always bring everyone down,1
You are not capable of success,1
You have no real talent,1
You are terrible at your job,1
Nobody can rely on you,1
You are always in the way,1
You make simple things difficult,1
You are the worst in the group,1
You never contribute anything useful,1
You are impossible to support,1
You are not worth helping,1
You are a bad person,1
You are always disappointing others,1
You are too lazy to succeed,1
You don't deserve any credit,1
You are a complete failure,1
Nobody wants your help,1
You are always ruining opportunities,1
You are not talented enough,1
You are constantly making mistakes,1
You are a burden to everyone,1
You have no chance of success,1
You are hopelessly bad at this,1
You are not capable of learning,1
You are the most annoying person here,1
You are impossible to like,1
You always make things worse for everyone,1
You are not welcome in this group,1
You are completely useless,1
You are the biggest disappointment here,1
You are not good enough for this,1
You have nothing to offer,1
You are a waste of everyone's time,1
Have a nice day,0
Good job,0
Congratulations,0
Keep up the good work,0
You are amazing,0
Thank you for your help,0
I appreciate your effort,0
Well done,0
You are very talented,0
Best wishes to you,0
I hope you have a great day,0
That's a wonderful idea,0
You did an excellent job,0
Happy birthday,0
Good luck for your future,0
Keep smiling,0
You inspire me,0
You are kind,0
Stay positive,0
You are doing great,0
I believe in you,0
